"language","item_id","label","type","required","active","order","scale_id","randomize_question_order","induction_method_1","dose_options_1","dose_label_override_1","induction_method_2","dose_options_2","dose_label_override_2"
"en","q0","The drug I took was:","selectInput","1","1","1","","1","","","","","",""
"en","q1","The dose I took was:","radioButtons","1","1","2","","","Psilocybin","Low;Medium;High","","Cannabis","Low;Medium;High",""
"en","q_context","Optional context about the setting:","textAreaInput","0","1","3","","","","","","","",""
"en","q3","The experience felt spiritual or sacred.","sliderInput","1","1","4","Spiritual Experience","","","","","","",""
"en","q6","I felt a sense of unity with everything.","sliderInput","1","1","5","Experience of Unity","","","","","","",""
"en","q10","It seemed to me as though I did not have a body anymore.","sliderInput","1","1","6","Disembodiment","","","","","","",""
"en","q25","I had important insights about myself or the situation.","sliderInput","1","1","7","Insightfulness","","","","","","",""
"en","q_free","Anything else you want to add?","textAreaInput","0","1","99","","","","","","","",""
"de","q0","Die Substanz, die ich genommen habe, war:","","","","","","","","","","","",""
"de","q1","Die Dosis, die ich genommen habe, war:","","","","","","","Psilocybin","Niedrig;Mittel;Hoch","","Cannabis","Niedrig;Mittel;Hoch",""
"de","q_context","Optionaler Kontext zur Situation:","","","","","","","","","","","",""
"de","q3","Die Erfahrung fühlte sich spirituell oder heilig an.","","","","","","","","","","","",""
"de","q6","Ich fühlte ein Gefühl der Einheit mit allem.","","","","","","","","","","","",""
"de","q10","Es kam mir so vor, als hätte ich keinen Körper mehr.","","","","","","","","","","","",""
"de","q25","Ich hatte wichtige Einsichten über mich selbst oder die Situation.","","","","","","","","","","","",""
"de","q_free","Möchtest du noch etwas ergänzen?","","","","","","","","","","","",""
